Nation,Name,Position,Age,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Positioning,Penalties
Jamaica,Greg Leigh,LB,31,68,74,59,60,64,64,74,75,0,39
Jamaica,Daniel Johnson,CAM,33,68,71,64,68,71,54,63,75,0,78
Jamaica,Demetri Mitchell,LM,29,68,89,62,63,67,59,67,88,61,55
Ecuador,Alan Minda,RM,22,70,84,65,62,71,51,59,82,0,50
Ecuador,Hernán Galíndez,GK,38,74,74,73,70,74,32,76,33,76,20
Ecuador,Joel Ordoñez,CB,21,75,74,26,54,56,74,79,68,0,39
Ecuador,John Yeboah,ST,25,70,92,66,62,75,26,57,91,0,48
Ecuador,Jordy Alcívar,CDM,26,68,66,65,66,67,63,71,68,0,71
Ecuador,Jordy Caicedo,ST,28,66,69,65,44,62,34,77,63,0,66
Ecuador,Kevin Rodríguez,ST,25,67,79,65,54,68,25,67,77,0,52
Ecuador,Moisés Caicedo,CDM,24,87,71,64,78,81,84,82,76,0,55
Ecuador,Nilson Angulo,LM,22,67,80,60,60,68,34,55,79,0,60
Ecuador,Pervis Estupiñán,LB,27,79,76,57,77,78,75,72,77,0,65
Ecuador,Piero Hincapié,CB,23,83,84,41,65,72,84,82,80,0,33
Ecuador,Willian Pacho,CB,24,86,80,34,62,62,86,86,74,0,39
Ecuador,Ángelo Preciado,RM,27,75,87,62,70,76,66,71,89,0,58
Venezuela,Yangel Herrera,CM,27,81,65,76,77,79,80,81,66,0,60
Venezuela,Yangel Herrera,CM,28,81,65,76,77,79,80,81,66,79,60
Venezuela,Jon Mikel Aramburu,RB,23,77,69,48,70,72,76,72,71,0,60
Venezuela,Jon Mikel Aramburu,RB,23,77,69,48,70,72,76,72,71,70,60
Venezuela,Cristian Cásseres Jr,CDM,25,74,77,64,68,72,74,74,78,0,48
Venezuela,Salomón Rondón,ST,36,74,51,75,66,70,33,75,52,0,68
Venezuela,Cristian Cásseres Jr,CDM,26,74,77,64,68,72,74,74,78,65,48
Venezuela,Salomón Rondón,ST,36,74,51,75,66,70,33,75,52,82,68
Venezuela,Rafael Romo,GK,35,73,75,71,68,74,36,71,33,71,20
Venezuela,Josef Martínez,ST,32,73,78,74,60,72,23,64,79,0,79
Venezuela,Rafael Romo,GK,36,73,75,71,68,74,36,71,33,18,20
Venezuela,Josef Martínez,ST,32,73,78,74,60,72,23,64,79,74,79
Venezuela,Romulo Otero,CAM,33,72,71,76,73,75,41,60,75,0,64
Venezuela,Jhon Murillo,RW,30,72,90,66,62,75,36,53,91,0,66
Venezuela,José Contreras,GK,31,72,71,70,70,74,19,71,15,71,14
Venezuela,Alejandro Marqués,ST,25,72,69,72,60,72,36,65,68,0,69
Venezuela,Romulo Otero,CAM,33,72,71,76,73,75,41,60,75,62,64
Venezuela,Jhon Murillo,RW,30,72,90,66,62,75,36,53,91,69,66
Venezuela,José Contreras,GK,31,72,71,70,70,74,19,71,15,8,14
Venezuela,Alejandro Marqués,ST,25,72,69,72,60,72,36,65,68,67,69
Venezuela,Roberto Rosales,RB,37,71,70,64,70,72,68,68,71,0,48
Venezuela,Roberto Rosales,RB,37,71,70,64,70,72,68,68,71,66,48
Venezuela,Maurice Cova,CM,33,70,70,71,74,70,45,66,68,0,77
Venezuela,Eduard Bello,RM,30,70,80,64,67,71,37,64,81,0,68
Venezuela,Joel Graterol,GK,28,70,69,68,66,70,24,72,30,72,16
Venezuela,Maurice Cova,CM,33,70,70,71,74,70,45,66,68,71,77
Canada,Ali Ahmed,CM,25,68,78,58,65,72,61,65,78,0,39
Canada,Alistair Johnston,RB,27,78,82,59,73,72,73,80,76,0,60
Canada,Cyle Larin,ST,30,77,70,77,68,71,28,78,66,0,72
Canada,Derek Cornelius,CB,27,74,67,45,55,57,71,85,61,0,32
Canada,Ismaël Koné,CM,23,72,78,63,68,71,64,69,74,0,44
Canada,Jacob Shaffelburg,LM,25,67,91,63,60,65,52,63,91,0,49
Canada,Jayden Nelson,LW,23,68,92,59,58,74,48,59,93,0,56
Canada,Jonathan David,ST,25,82,81,82,71,80,34,78,79,0,86
Canada,Jonathan Osorio,CM,33,71,50,67,70,72,61,65,53,0,50
Canada,Liam Millar,LM,26,72,85,66,66,75,52,59,86,0,56
Canada,Luc De Fougerolles,CB,20,58,64,32,44,48,60,58,65,0,44
Canada,Mathieu Choinière,CM,26,67,60,58,66,66,62,59,68,0,59
Canada,Maxime Crépeau,GK,31,69,71,69,64,72,45,66,46,66,23
Canada,Moïse Bombito,CB,25,76,93,49,58,65,75,76,92,0,32
Canada,Niko Sigur,RB,22,70,71,61,68,73,62,68,69,0,50
Canada,Promise David,ST,24,75,62,78,59,64,29,84,57,0,75
Canada,Richie Laryea,RM,30,72,81,61,65,74,64,71,79,0,57
Canada,Stephen Eustáquio,CDM,28,77,66,67,76,73,73,74,67,0,65
Canada,Tajon Buchanan,RM,26,74,90,65,66,74,67,73,91,0,55
Canada,Tani Oluwaseyi,ST,25,70,85,71,54,66,31,67,82,0,73
Uruguay,Darwin Núñez,ST,26,79,88,79,72,76,49,82,86,0,78
Uruguay,Federico Valverde,CM,27,89,88,84,84,84,83,85,84,0,59
Uruguay,Federico Viñas,ST,27,72,73,72,56,70,25,76,71,0,73
Uruguay,Fernando Muslera,GK,39,79,81,80,66,77,43,78,40,78,67
Uruguay,Manuel Ugarte,CDM,24,79,62,65,72,76,77,75,62,0,62
Uruguay,Mathías Olivera,LB,28,78,70,51,69,72,77,73,69,0,42
Uruguay,Maximiliano Araújo,LM,25,77,85,63,70,79,68,68,87,0,54
Uruguay,Rodrigo Bentancur,CDM,28,80,64,68,78,79,78,72,63,0,67
Panama,Andrés Andrade,CB,27,69,74,51,60,64,68,79,73,0,39
Panama,Aníbal Godoy,CM,35,70,43,56,65,67,64,75,43,0,36
Panama,Carlos Harvey,CB,25,65,53,42,54,58,64,73,56,0,40
Panama,José Córdoba,CB,24,68,72,31,53,61,65,73,66,0,35
Panama,José Fajardo,ST,32,68,69,68,58,68,33,68,66,0,68
Panama,Amir Murillo,RB,29,76,84,57,70,71,70,76,80,0,62
Panama,Orlando Mosquera,GK,30,70,73,68,69,71,32,65,32,65,10
New Zealand,Ben Old,LW,23,68,82,58,63,71,52,69,83,0,51
New Zealand,Callan Elliot,RB,26,62,76,48,56,63,55,67,80,0,48
New Zealand,Callum McCowatt,CAM,26,67,76,67,65,67,52,67,75,0,60
New Zealand,Chris Wood,ST,33,82,53,83,68,72,40,81,55,0,85
New Zealand,Elijah Just,LW,25,66,81,66,58,68,38,53,84,0,55
New Zealand,Finn Surman,CB,22,68,65,33,49,55,66,78,62,0,29
New Zealand,Francis de Vries,LB,30,69,64,53,67,62,63,83,66,0,55
New Zealand,Jesse Randall,LM,23,60,78,58,53,61,31,59,79,0,56
New Zealand,Joe Bell,CDM,26,74,70,64,72,71,69,81,71,0,55
New Zealand,Liberato Cacace,LB,25,72,72,60,67,71,69,74,73,0,55
New Zealand,Marko Stamenić,CDM,23,71,67,60,68,71,66,75,65,0,58
New Zealand,Max Crocombe,GK,32,65,64,65,62,65,47,64,46,64,21
New Zealand,Michael Boxall,CB,37,69,52,43,60,57,67,80,40,0,42
New Zealand,Ryan Thomas,CM,30,66,57,58,68,69,57,66,72,0,62
New Zealand,Tim Payne,RB,31,64,68,56,58,57,60,80,67,0,50
New Zealand,Tyler Bindon,CB,20,69,58,46,59,64,68,73,57,0,37
Morocco,Achraf Hakimi,RB,27,89,92,79,82,83,82,79,89,0,68
Morocco,Amine Sbaï,LM,25,68,76,62,62,73,27,55,74,0,56
Morocco,Ayoub El Kaabi,ST,32,80,82,82,62,75,46,77,80,0,84
Morocco,Ayoube Amaimouni,RW,20,63,71,65,57,68,21,50,69,0,56
Morocco,Azzedine Ounahi,CM,25,76,64,66,73,77,63,67,63,0,57
Morocco,Bilal El Khannouss,CAM,21,76,76,64,76,82,38,56,79,0,55
Morocco,Chadi Riad,CB,22,72,60,32,57,61,71,72,56,0,46
Morocco,Chemsdine Talbi,RM,20,73,90,59,64,79,47,57,92,0,50
Morocco,Ismael Saibari,CAM,24,79,78,75,74,82,51,78,81,0,57
Morocco,Marwane Saadane,CB,33,72,54,51,61,62,70,85,55,0,71
Morocco,Neil El Aynaoui,CM,24,77,62,63,76,74,73,75,57,0,79
Morocco,Noussair Mazraoui,RB,28,80,75,66,76,80,77,72,78,0,44
Morocco,Redouane Halhal,CB,22,63,59,30,44,48,64,65,57,0,41
Morocco,Samir El Mourabet,CM,20,65,57,48,63,62,57,61,56,0,46
Morocco,Sofyan Amrabat,CDM,29,78,61,70,73,74,75,82,62,0,57
Morocco,Soufiane Rahimi,LM,29,78,85,76,72,77,38,66,87,0,67
Morocco,Yassine Bounou,GK,34,82,81,82,76,85,38,82,38,82,24
Morocco,Zakaria El Ouahdi,RB,23,76,73,66,70,77,69,71,81,0,58
Brazil,Alisson,GK,33,89,86,85,86,89,56,90,60,90,23
Brazil,Bruno Guimarães,CM,28,86,66,75,84,84,79,81,66,0,65
Brazil,Casemiro,CDM,33,80,36,74,76,69,80,76,35,0,66
Brazil,Endrick,ST,19,77,87,77,62,78,30,68,88,0,68
Brazil,Fabinho,CDM,32,82,53,69,78,77,81,80,45,0,85
Brazil,Gabriel Martinelli,LW,24,81,90,77,75,83,46,72,92,0,62
Brazil,Igor Thiago,ST,24,75,66,75,54,69,37,78,65,0,74
Brazil,Lucas Paquetá,CM,28,80,68,78,78,84,69,75,69,0,82
Brazil,Marquinhos,CB,31,87,78,56,75,74,89,80,75,0,52
Brazil,Matheus Cunha,CAM,26,83,77,85,79,84,44,75,78,0,76
Brazil,Raphinha,LM,28,89,91,84,85,87,53,75,90,0,78
Scotland,Aaron Hickey,RB,23,74,71,54,70,73,74,64,70,0,47
Scotland,Angus Gunn,GK,29,72,73,71,70,74,48,70,48,70,19
Scotland,Anthony Ralston,RB,27,71,76,59,69,70,64,78,74,0,44
Scotland,Ché Adams,ST,29,77,82,80,64,77,43,72,80,0,69
Scotland,Findlay Curtis,LW,19,63,63,53,61,66,34,44,61,0,41
Scotland,Grant Hanley,CB,34,71,52,30,47,49,71,78,51,0,26
Scotland,Jack Hendry,CB,30,74,73,56,63,64,71,82,62,0,37
Scotland,John McGinn,LM,31,81,69,77,78,80,77,83,69,0,55
Scotland,Kenny McLean,CDM,33,72,58,67,68,71,66,73,64,0,75
Scotland,Kieran Tierney,LB,28,77,76,60,75,76,75,73,77,0,42
Scotland,Lawrence Shankland,ST,30,73,63,75,66,72,28,80,65,0,79
Scotland,Lewis Ferguson,CM,26,78,72,78,74,78,72,75,72,0,80
Scotland,Lyndon Dykes,ST,30,68,66,67,52,64,29,82,64,0,74
Scotland,Nathan Patterson,RB,24,71,71,46,63,70,70,69,68,0,35
Scotland,Ross Stewart,ST,29,71,68,71,57,64,30,70,70,0,72
Scotland,Ryan Christie,CDM,30,79,69,70,77,78,74,76,73,0,73
Scotland,Scott McKenna,CB,29,75,60,32,51,56,76,80,56,0,36
Scotland,Scott McTominay,CM,28,85,76,82,77,80,80,85,70,0,60
Haiti,Carlens Arcus,RB,29,71,75,44,66,66,66,75,73,0,43
Haiti,Danley Jean Jacques,CM,25,70,69,56,66,70,67,74,68,0,35
Haiti,Derrick Etienne Jr.,LM,28,66,81,61,60,69,40,62,83,0,53
Haiti,Frantzdy Pierrot,ST,30,72,65,72,56,62,32,82,59,0,60
Haiti,Jean-Kévin Duverne,LB,28,71,60,38,62,67,72,73,57,0,33
Haiti,Johny Placide,GK,37,69,65,70,69,67,54,72,53,72,15
Haiti,Martin Expérience,LB,26,62,68,36,53,59,58,64,66,0,35
United States,Alex Freeman,RB,21,65,82,57,62,67,58,73,83,0,51
United States,Antonee Robinson,LB,28,82,88,46,75,77,78,80,87,0,45
United States,Auston Trusty,CB,27,74,78,47,56,60,72,83,74,0,52
United States,Brenden Aaronson,CAM,25,74,80,66,70,78,57,61,81,0,62
United States,Chris Richards,CB,25,77,66,27,58,62,78,77,64,0,37
United States,Christian Pulisic,RW,27,84,88,82,80,86,46,65,90,0,80
United States,Folarin Balogun,ST,24,77,84,77,62,77,23,68,82,0,71
United States,Giovanni Reyna,RM,23,75,67,72,72,80,38,68,71,0,50
United States,Haji Wright,ST,27,73,82,72,60,71,33,76,78,0,78
United States,Joe Scally,RB,22,74,83,49,60,69,71,76,80,0,39
United States,Malik Tillman,CAM,23,82,84,76,77,83,65,77,83,0,60
United States,Mark McKenzie,CB,26,74,80,36,50,64,73,78,78,0,30
United States,Matt Freese,GK,27,69,70,68,68,71,29,69,27,69,10
United States,Matt Turner,GK,31,74,74,72,67,74,40,73,38,73,14
United States,Max Arfsten,LM,24,67,75,61,60,69,60,65,73,0,56
United States,Miles Robinson,CB,28,73,82,35,55,67,72,79,83,0,41
United States,Ricardo Pepi,ST,22,76,73,78,60,72,46,73,74,0,70
United States,Sebastian Berhalter,CM,24,67,71,54,66,67,65,71,72,0,53
United States,Sergiño Dest,RB,25,79,87,60,75,83,72,72,89,0,39
United States,Tim Ream,CB,38,72,39,44,69,60,74,73,38,0,50
United States,Timothy Weah,RM,25,77,87,75,72,78,68,65,86,0,60
United States,Tyler Adams,CDM,26,79,79,56,71,75,79,75,85,0,52
United States,Weston McKennie,CM,27,78,77,71,77,77,80,80,75,0,61
Turkey,Abdülkerim Bardakcı,CB,31,80,59,46,70,69,81,85,58,0,48
Turkey,Arda Güler,RM,20,81,70,77,83,83,52,50,73,0,71
Turkey,Barış Alper Yılmaz,LM,25,80,93,77,72,79,69,90,92,0,58
Turkey,Can Uzun,CAM,20,74,62,75,66,77,25,62,75,0,66
Turkey,Deniz Gül,ST,21,66,69,64,58,67,28,66,68,0,59
Turkey,Eren Elmalı,LB,25,75,83,52,72,72,69,77,80,0,49
Turkey,Ferdi Kadıoğlu,RB,26,79,82,68,74,80,76,67,88,0,52
Turkey,Hakan Çalhanoğlu,CDM,31,86,71,81,87,82,81,73,74,0,92
Turkey,Kaan Ayhan,RB,31,76,57,62,77,69,78,77,55,0,45
Turkey,Kenan Yıldız,CAM,20,79,84,78,74,83,35,66,85,0,70
Turkey,Kerem Aktürkoğlu,LW,27,80,85,75,74,81,41,58,87,0,64
Turkey,Merih Demiral,CB,27,78,73,39,49,61,79,81,66,0,41
Turkey,Mert Müldür,RB,26,74,76,54,65,73,71,75,78,0,58
Turkey,Orkun Kökçü,CM,24,82,72,80,84,80,70,79,75,0,81
Turkey,Ozan Kabak,CB,25,75,60,37,59,66,74,79,52,0,51
Turkey,Oğuz Aydın,LW,25,77,85,72,71,78,56,67,86,0,68
Turkey,Salih Özcan,CDM,27,75,70,59,68,73,75,79,75,0,57
Turkey,Uğurcan Çakır,GK,29,80,81,76,74,79,54,80,53,80,23
Turkey,Yunus Akgün,RM,25,78,87,78,74,81,40,61,88,0,67
Turkey,Zeki Çelik,RB,28,76,72,59,69,73,73,74,70,0,46
Turkey,Çağlar Söyüncü,CB,29,77,69,47,58,65,77,80,64,0,52
Turkey,İrfan Can Kahveci,RW,30,78,73,77,81,80,58,67,74,0,58
Turkey,İsmail Yüksek,CDM,26,77,74,59,70,73,74,78,76,0,48
Australia,Aiden O'Neill,CDM,27,70,76,61,65,68,66,77,74,0,53
Australia,Ajdin Hrustić,CM,29,67,50,67,69,70,56,66,66,0,65
Australia,Alessandro Circati,CB,22,71,59,35,53,49,72,77,54,0,36
Australia,Aziz Behich,LB,34,67,74,60,65,69,61,71,77,0,49
Australia,Cameron Burgess,CB,30,73,48,37,57,54,73,78,43,0,43
Australia,Connor Metcalfe,CM,26,69,72,60,66,70,62,75,75,0,50
Australia,Harry Souttar,CB,27,73,46,28,51,54,73,75,40,0,40
Australia,Jackson Irvine,CM,32,75,67,68,71,70,72,80,64,0,55
Australia,Jacob Italiano,LB,24,63,76,56,59,69,58,56,79,0,50
Australia,Jordan Bos,LB,23,69,87,58,60,68,61,79,83,0,48
Australia,Lucas Herrington,CB,18,59,65,32,42,45,57,66,63,0,32
Australia,Mathew Leckie,CM,34,70,79,68,67,74,63,76,76,0,64
Australia,Mohamed Touré,ST,21,68,86,65,57,67,33,72,85,0,60
Australia,Nestory Irankunda,RM,19,67,88,70,62,70,43,74,90,0,59
Australia,Nishan Velupillay,LM,24,65,94,56,55,70,35,57,93,0,44
Australia,Patrick Beach,GK,22,65,68,62,64,71,31,62,29,62,11
Australia,Tete Yengi,ST,24,59,69,57,48,55,37,78,73,0,55
Paraguay,Alexandro Maidana,LB,20,58,73,45,54,56,51,55,74,0,48
Paraguay,Andrés Cubas,CDM,29,74,69,47,66,71,73,56,70,0,51
Paraguay,Antonio Sanabria,ST,29,76,75,75,68,79,32,57,78,0,66
Paraguay,Diego Gómez,CM,22,73,69,67,71,75,72,75,70,0,63
Paraguay,Gabriel Ávalos,ST,35,75,67,75,63,73,45,84,69,0,80
Paraguay,Gustavo Velázquez,CB,34,73,74,31,47,55,72,78,75,0,40
Paraguay,José Canale,CB,29,69,63,32,49,49,69,73,68,0,38
Paraguay,Julio César Enciso,CAM,21,73,74,72,70,78,33,51,77,0,63
Paraguay,Kaku,CAM,30,79,81,73,81,80,52,64,82,0,74
Paraguay,Matías Galarza,CM,23,73,63,73,70,76,65,58,59,0,54
Paraguay,Miguel Almirón,RW,31,76,87,72,70,79,57,64,88,0,70
Paraguay,Omar Alderete,CB,28,78,60,61,62,69,79,78,56,0,45
Paraguay,Orlando Gill,GK,25,62,63,62,60,62,24,63,22,63,11
Paraguay,Alex Arce,ST,30,75,59,79,50,70,23,64,58,0,76
Germany,Aleksandar Pavlović,CDM,21,79,62,64,79,78,76,71,69,0,50
Germany,Angelo Stiller,CDM,24,83,56,58,83,84,76,71,68,0,42
Germany,Antonio Rüdiger,CB,32,86,79,55,72,70,84,86,70,0,40
Germany,David Raum,LB,27,82,86,61,80,79,74,78,86,0,49
Germany,Deniz Undav,ST,29,80,66,82,74,80,33,77,67,0,72
Germany,Felix Nmecha,CDM,25,82,82,74,73,81,80,86,77,0,55
Germany,Florian Wirtz,CAM,22,89,80,82,88,90,54,67,82,0,66
Germany,Jamal Musiala,CAM,22,88,80,82,80,90,66,65,85,0,61
Germany,Jamie Leweling,RM,24,75,83,71,65,78,46,72,81,0,55
Germany,Jonathan Tah,CB,29,87,63,38,60,63,87,86,53,0,38
Germany,Joshua Kimmich,CDM,30,89,72,74,89,84,83,79,75,0,71
Germany,Kai Havertz,ST,26,82,72,79,78,81,48,74,71,0,83
Germany,Leon Goretzka,CM,30,82,77,78,80,80,80,82,72,0,60
Germany,Leroy Sané,RM,29,82,87,81,78,85,37,68,89,0,65
Germany,Malick Thiaw,CB,24,78,72,47,69,72,78,80,72,0,64
Germany,Manuel Neuer,GK,39,84,81,81,90,81,31,86,29,86,49
Germany,Maximilian Beier,ST,23,79,86,79,68,80,43,62,86,0,65
Germany,Nadiem Amiri,CM,29,81,65,79,82,82,62,72,76,0,67
Germany,Nathaniel Brown,LB,22,77,83,53,71,77,71,51,87,0,33
Germany,Nico Schlotterbeck,CB,25,85,74,60,75,73,85,82,77,0,38
Germany,Pascal Groß,CDM,34,80,48,75,84,79,72,76,46,0,73
Germany,Waldemar Anton,CB,29,82,69,47,67,66,84,84,64,0,48
Ivory Coast,Bazoumana Touré,LM,19,70,91,59,62,71,28,51,90,0,46
Ivory Coast,Christ Ravynel Inao Oulaï,CAM,19,64,74,50,61,69,58,49,76,0,54
Ivory Coast,Christopher Operi,LB,28,74,78,61,70,72,68,72,74,0,60
Ivory Coast,Emmanuel Agbadou,CB,28,79,80,48,63,66,78,83,69,0,46
Ivory Coast,Evann Guessand,RW,24,79,83,76,73,79,36,77,79,0,61
Ivory Coast,Franck Yannick Kessié,CDM,28,80,78,77,73,78,78,86,77,0,88
Ivory Coast,Ghislain Konan,LB,29,72,79,51,66,70,68,74,82,0,41
Ivory Coast,Guéla Doué,RB,23,77,72,47,70,72,74,78,65,0,45
Ivory Coast,Ibrahim Sangaré,CDM,27,77,58,65,72,71,77,79,62,0,64
Ivory Coast,Nicolas Pépé,RM,30,80,88,77,76,82,36,67,87,0,85
Ivory Coast,Odilon Kossounou,CB,24,80,80,32,64,67,81,78,74,0,32
Ivory Coast,Oumar Diakité,ST,21,72,82,71,57,70,21,71,83,0,66
Ivory Coast,Ousmane Diomande,CB,21,80,80,26,51,70,79,86,78,0,39
Ivory Coast,Seko Fofana,CM,30,77,68,75,74,76,71,80,67,0,56
Ivory Coast,Simon Adingra,RM,23,76,87,70,70,80,30,52,88,0,60
Ivory Coast,Wilfried Singo,CB,24,80,80,59,70,73,79,84,72,0,46
Ivory Coast,Yahia Fofana,GK,25,76,78,71,70,79,41,74,40,74,11
Ivory Coast,Yan Diomande,LM,19,66,71,61,62,64,25,49,69,0,61
Curacao,Brandley Kuwas,LM,33,67,71,69,65,70,33,62,70,0,56
Curacao,Juninho Bacuna,CDM,28,69,73,68,69,72,63,76,75,0,59
Curacao,Livano Comenencia,RB,21,62,74,43,55,61,57,61,74,0,47
Curacao,Sherel Floranus,RB,27,66,82,42,55,67,62,73,76,0,40
Curacao,Shurandy Sambo,RB,24,68,78,45,59,67,63,72,77,0,39
Curacao,Tahith Chong,CAM,25,71,77,66,70,73,54,63,75,0,51
Netherlands,Bart Verbruggen,GK,23,78,79,76,76,81,56,75,57,75,21
Netherlands,Brian Brobbey,ST,23,77,84,73,56,72,30,80,82,0,62
Netherlands,Cody Gakpo,LM,26,84,83,82,80,83,47,74,85,0,68
Netherlands,Crysencio Summerville,LM,24,76,89,71,67,80,35,54,91,0,69
Netherlands,Denzel Dumfries,RB,29,84,84,70,75,79,79,84,78,0,51
Netherlands,Donyell Malen,RM,26,79,86,78,72,82,35,67,89,0,74
Netherlands,Frenkie de Jong,CM,28,87,82,71,85,87,78,77,80,0,53
Netherlands,Guus Til,CAM,27,77,79,76,72,74,64,74,75,0,66
Netherlands,Jan Paul van Hecke,CB,25,80,67,46,72,70,80,78,66,0,55
Netherlands,Justin Kluivert,CAM,26,79,87,78,76,81,38,62,89,0,84
Netherlands,Micky van de Ven,CB,24,82,90,49,64,72,82,80,84,0,39
Netherlands,Nathan Aké,CB,30,83,72,53,72,75,84,74,73,0,53
Netherlands,Noa Lang,LW,26,80,80,77,73,84,50,68,84,0,73
Netherlands,Quinten Timber,CM,24,80,77,78,76,80,74,83,86,0,60
Netherlands,Ryan Gravenberch,CDM,23,85,76,76,81,85,81,81,76,0,58
Netherlands,Teun Koopmeiners,CAM,27,81,70,79,83,78,75,75,71,0,85
Netherlands,Tijjani Reijnders,CM,27,86,79,79,82,85,77,77,83,0,59
Netherlands,Virgil van Dijk,CB,34,90,73,60,72,72,90,87,66,0,62
Japan,Ao Tanaka,CDM,27,76,70,68,72,77,73,71,72,0,60
Japan,Ayase Ueda,ST,27,74,74,75,58,69,28,69,75,0,76
Japan,Ayumu Seko,CB,25,68,64,36,54,58,68,74,63,0,42
Japan,Daichi Kamada,CM,29,77,71,72,77,78,64,66,74,0,78
Japan,Daizen Maeda,LW,28,79,92,79,70,76,65,79,94,0,64
Japan,Hiroki Ito,CB,26,78,74,57,71,72,80,72,74,0,47
Japan,Junnosuke Suzuki,CB,22,66,73,44,59,59,66,65,74,0,45
Japan,Junya Ito,RM,32,77,86,69,72,78,58,70,90,0,57
Japan,Kaishū Sano,CDM,24,79,79,51,67,76,78,75,76,0,49
Japan,Keisuke Goto,ST,20,56,53,58,40,47,29,65,53,0,65
Japan,Keito Nakamura,LM,25,76,79,74,71,77,41,74,83,0,59
Japan,Kento Shiogai,ST,20,66,84,65,55,66,21,57,85,0,59
Japan,Ko Itakura,CB,28,77,75,59,61,74,77,76,77,0,38
Japan,Koki Ogawa,ST,28,68,51,69,57,65,29,67,50,0,60
Japan,Ritsu Doan,RM,27,82,82,71,78,85,41,64,86,0,59
Japan,Shogo Taniguchi,CB,34,69,58,45,59,57,70,72,48,0,45
Japan,Takefusa Kubo,RM,24,82,86,77,78,85,40,64,89,0,63
Japan,Tsuyoshi Watanabe,CB,28,75,76,39,52,59,76,78,76,0,40
Japan,Yuito Suzuki,CAM,24,71,83,68,65,74,48,57,84,0,52
Japan,Yukinari Sugawara,RB,25,74,75,54,73,72,69,70,75,0,49
Japan,Zion Suzuki,GK,23,74,73,72,71,76,56,73,55,73,18
Sweden,Alexander Bernhardsson,ST,27,72,81,70,64,74,48,69,87,0,56
Sweden,Alexander Isak,ST,26,88,83,89,73,85,39,76,86,0,86
Sweden,Anthony Elanga,RW,23,81,92,72,76,82,39,70,93,0,56
Sweden,Benjamin Nygren,CM,24,72,71,73,71,72,60,71,73,0,64
Sweden,Besfort Zeneli,CM,23,72,71,65,68,70,56,67,74,0,54
Sweden,Carl Starfelt,CB,30,78,74,31,56,68,78,78,68,0,39
Sweden,Daniel Svensson,LB,23,77,77,56,75,76,73,74,78,0,44
Sweden,Elliot Stroud,LB,23,71,79,65,64,67,65,73,76,0,57
Sweden,Gabriel Gudmundsson,LB,26,77,87,64,71,75,70,75,85,0,46
Sweden,Gustaf Lagerbielke,CB,25,70,50,32,57,58,70,74,40,0,37
